,symbol,name,time_stamp,time_high,time_low,open,close,high,low,market_cap,volume
0,BTC,Bitcoin,2023-05-17T23:59:59.999Z,2023-05-17T20:09:00.000Z,2023-05-17T14:03:00.000Z,27035.4701297138,27398.8020279652,27465.9279042946,26600.144844308,530890147614.67,15140006925.18
1,BTC,Bitcoin,2023-05-13T23:59:59.999Z,2023-05-13T18:50:00.000Z,2023-05-13T00:32:00.000Z,26807.7690443986,26784.0785608824,27030.4829603024,26710.8738030477,518873704830.19,9999171605.08
2,BTC,Bitcoin,2023-03-08T23:59:59.999Z,2023-03-08T00:23:00.000Z,2023-03-08T23:43:00.000Z,22216.4423211022,21718.0798304321,22268.8962521879,21708.0505060405,419421447158.25,22536575684.49
3,BTC,Bitcoin,2023-02-21T23:59:59.999Z,2023-02-21T08:30:00.000Z,2023-02-21T22:06:00.000Z,24833.0489142974,24436.354484576,25126.851685722,24200.3641163385,471577656114.25,31252098713.68
4,BTC,Bitcoin,2022-10-15T23:59:59.999Z,2022-10-15T03:59:00.000Z,2022-10-15T23:04:00.000Z,19185.4373038114,19067.6350822884,19212.5416076166,19019.2501252192,365722351004.5,16192235531.97
5,BNB,BNB,2023-08-19T23:59:59.999Z,2023-08-19T17:00:00.000Z,2023-08-19T07:20:00.000Z,216.1444827825,216.9994472153,218.9975908586,214.3288438049,33385777381.9,477267427.54
6,BNB,BNB,2023-06-24T23:59:59.999Z,2023-06-24T06:01:00.000Z,2023-06-24T16:05:00.000Z,244.5535184023,236.6596520087,248.4286261487,231.9947555545,36883950527.41,558809140.43
7,BNB,BNB,2023-01-19T23:59:59.999Z,2023-01-19T20:28:00.000Z,2023-01-19T00:01:00.000Z,286.8854871655,294.8521905383,295.1185318608,286.8704396277,46558310525.77,431382130.49
8,ETH,Ethereum,2023-08-11T23:59:59.999Z,2023-08-11T14:48:00.000Z,2023-08-11T16:45:00.000Z,1850.7417227889,1847.1243621559,1855.0660790547,1839.569273373,221931416524.33,3353025102.3
9,ETH,Ethereum,2023-05-02T23:59:59.999Z,2023-05-02T19:13:00.000Z,2023-05-02T02:31:00.000Z,1831.7265305707,1870.7892659124,1879.7595743342,1824.3270696947,225222354683.52,7536785767.45
10,ETH,Ethereum,2022-11-27T23:59:59.999Z,2022-11-27T06:26:00.000Z,2022-11-27T23:58:00.000Z,1205.905320533,1195.1269193712,1220.3494838634,1195.0390882136,146252301744.43,4486976867.54
