,time_stamp,hash,time
0,1.44219E+12,12514082.15,2015-09-14T00:00:00Z
1,1.44228E+12,13361330.16,2015-09-15T00:00:00Z
2,1.44236E+12,13065948.13,2015-09-16T00:00:00Z
3,1.44245E+12,12663854.33,2015-09-17T00:00:00Z
4,1.44253E+12,12198340.44,2015-09-18T00:00:00Z
5,1.44262E+12,12674787.89,2015-09-19T00:00:00Z
6,1.44271E+12,13461509.87,2015-09-20T00:00:00Z
7,1.44279E+12,13496266.36,2015-09-21T00:00:00Z
8,1.44288E+12,13435780.53,2015-09-22T00:00:00Z
9,1.44297E+12,13078246.85,2015-09-23T00:00:00Z
10,1.44305E+12,12485271.56,2015-09-24T00:00:00Z
11,1.44314E+12,11931066.3,2015-09-25T00:00:00Z
12,1.44323E+12,13164637.2,2015-09-26T00:00:00Z
13,1.44331E+12,13270476.25,2015-09-27T00:00:00Z
14,1.4434E+12,12428315.13,2015-09-28T00:00:00Z
15,1.44348E+12,13524784.34,2015-09-29T00:00:00Z
16,1.44357E+12,13780454.93,2015-09-30T00:00:00Z
17,1.44366E+12,12251434.69,2015-10-01T00:00:00Z
18,1.44374E+12,11941651.97,2015-10-02T00:00:00Z
19,1.44383E+12,12408588.11,2015-10-03T00:00:00Z
20,1.44392E+12,11777310.92,2015-10-04T00:00:00Z
21,1.444E+12,11015864.79,2015-10-05T00:00:00Z
22,1.44409E+12,10763268.47,2015-10-06T00:00:00Z
23,1.44418E+12,12436243.44,2015-10-07T00:00:00Z
24,1.44426E+12,12934801.28,2015-10-08T00:00:00Z
25,1.44435E+12,12534422.92,2015-10-09T00:00:00Z
26,1.44444E+12,12275908.33,2015-10-10T00:00:00Z
27,1.44452E+12,11352324,2015-10-11T00:00:00Z
28,1.44461E+12,11907637.18,2015-10-12T00:00:00Z
29,1.44469E+12,11391129.95,2015-10-13T00:00:00Z
30,1.44478E+12,12218081.79,2015-10-14T00:00:00Z
31,1.44487E+12,11678345.65,2015-10-15T00:00:00Z
32,1.44495E+12,11556266.47,2015-10-16T00:00:00Z
33,1.44504E+12,10962485.46,2015-10-17T00:00:00Z
34,1.44513E+12,12112533.44,2015-10-18T00:00:00Z
35,1.44521E+12,11283432.13,2015-10-19T00:00:00Z
36,1.4453E+12,11250941.26,2015-10-20T00:00:00Z
37,1.44539E+12,12364910.03,2015-10-21T00:00:00Z
38,1.44547E+12,11115536.82,2015-10-22T00:00:00Z
39,1.44556E+12,12183822.29,2015-10-23T00:00:00Z
40,1.44564E+12,13304652.13,2015-10-24T00:00:00Z
41,1.44573E+12,13549072.52,2015-10-25T00:00:00Z
42,1.44582E+12,12529830.65,2015-10-26T00:00:00Z
43,1.4459E+12,13008135.78,2015-10-27T00:00:00Z
44,1.44599E+12,12762307.14,2015-10-28T00:00:00Z
45,1.44608E+12,12124037.78,2015-10-29T00:00:00Z
46,1.44616E+12,11886974.51,2015-10-30T00:00:00Z
47,1.44625E+12,12366079.52,2015-10-31T00:00:00Z
48,1.44634E+12,11569041.21,2015-11-01T00:00:00Z
49,1.44642E+12,10943667.83,2015-11-02T00:00:00Z
50,1.44651E+12,11595649.15,2015-11-03T00:00:00Z
51,1.4466E+12,11190684.6,2015-11-04T00:00:00Z
52,1.44668E+12,11753128.24,2015-11-05T00:00:00Z
53,1.44677E+12,12559430.4,2015-11-06T00:00:00Z
54,1.44685E+12,12106128.74,2015-11-07T00:00:00Z
55,1.44694E+12,11433711.53,2015-11-08T00:00:00Z
56,1.44703E+12,11305084.01,2015-11-09T00:00:00Z
57,1.44711E+12,11382238.52,2015-11-10T00:00:00Z
58,1.4472E+12,11315192.62,2015-11-11T00:00:00Z
59,1.44729E+12,11712445.62,2015-11-12T00:00:00Z
60,1.44737E+12,12064867.48,2015-11-13T00:00:00Z
61,1.44746E+12,12173995.85,2015-11-14T00:00:00Z
62,1.44755E+12,12623105.24,2015-11-15T00:00:00Z
63,1.44763E+12,11148395.65,2015-11-16T00:00:00Z
64,1.44772E+12,13396345.82,2015-11-17T00:00:00Z
65,1.4478E+12,13737632.99,2015-11-18T00:00:00Z
66,1.44789E+12,12342536.82,2015-11-19T00:00:00Z
67,1.44798E+12,12299945.63,2015-11-20T00:00:00Z
68,1.44806E+12,12791742.77,2015-11-21T00:00:00Z
69,1.44815E+12,12050919.2,2015-11-22T00:00:00Z
70,1.44824E+12,12912837.2,2015-11-23T00:00:00Z
71,1.44832E+12,13091170.25,2015-11-24T00:00:00Z
72,1.44841E+12,12503497.22,2015-11-25T00:00:00Z
73,1.4485E+12,12128291.17,2015-11-26T00:00:00Z
74,1.44858E+12,11735158.68,2015-11-27T00:00:00Z
75,1.44867E+12,12200542.7,2015-11-28T00:00:00Z
76,1.44876E+12,12647689.14,2015-11-29T00:00:00Z
77,1.44884E+12,12776950.84,2015-11-30T00:00:00Z
78,1.44893E+12,12010013.24,2015-12-01T00:00:00Z
79,1.44901E+12,11483897.5,2015-12-02T00:00:00Z
80,1.4491E+12,11709267.15,2015-12-03T00:00:00Z
81,1.44919E+12,11460580.87,2015-12-04T00:00:00Z
82,1.44927E+12,12454033.94,2015-12-05T00:00:00Z
83,1.44936E+12,13331856.83,2015-12-06T00:00:00Z
84,1.44945E+12,12452555.93,2015-12-07T00:00:00Z
85,1.44953E+12,12390744.5,2015-12-08T00:00:00Z
86,1.44962E+12,13447508.54,2015-12-09T00:00:00Z
87,1.44971E+12,11740245.36,2015-12-10T00:00:00Z
88,1.44979E+12,12060700.97,2015-12-11T00:00:00Z
89,1.44988E+12,12010968.26,2015-12-12T00:00:00Z
90,1.44996E+12,11683573.87,2015-12-13T00:00:00Z
91,1.45005E+12,10443443.16,2015-12-14T00:00:00Z
92,1.45014E+12,10943720.91,2015-12-15T00:00:00Z
93,1.45022E+12,11788221.8,2015-12-16T00:00:00Z
94,1.45031E+12,10947259.27,2015-12-17T00:00:00Z
95,1.4504E+12,11744216.45,2015-12-18T00:00:00Z
96,1.45048E+12,12180841.2,2015-12-19T00:00:00Z
97,1.45057E+12,11289062.23,2015-12-20T00:00:00Z
98,1.45066E+12,12268307.32,2015-12-21T00:00:00Z
