Symbol,Volume,MarketCap,TotalSupply,ProofType,Network
LEO,1823284.25,3586504072,"985,239,504",PoS,Ethereum
UNI,99187680.79,3992451215,"1,000,000,000",PoS,Ethereum
WBTC,141541023.4,4237575489,"163,106",PoW,Ethereum
AVAX,219706474,4901630273,"431,804,080",PoS,Avalanche
DAI,217711327.7,5513660644,"5,347,888,596",stablecoin,Ethereum
SHIB,247994398.3,5606251419,"589,589,040,239,380",PoS,Ethereum
LTC,591301857.2,5729295460,"84,000,000",PoW,Litecoin
TRX,271902785.1,6018922345,"88,996,805,683",PoS,Tron
DOT,203559209.8,6659549868,"1,364,182,225",PoW,Polkadot
MATIC,423298996.1,8053184610,"10,000,000,000",PoS,Polygon
SOL,633896302,8349992848,"559,509,636",PoH,Solana
DOGE,631149332.6,10342393982,"141,339,436,384",PoW,Dogecoin
ADA,364799566,12109137813,"36,244,287,753",PoS,Cardano
BUSD,5084396129,12132993575,"2,213,836,281",stablecoin,Binance Smart Chain
XRP,1349225371,23581660945,"99,988,380,689",RPCA,XRP Ledger
USDC,3665726400,37317414284,"25,540,319,537",stablecoin,Ethereum
BNB,680796581.6,44599661514,"153,845,639",PoS,Binance Smart Chain
USDT,33149475161,74588184814,"866,300,000.00",stablecoin,Ethereum
ETH,8843689497,196082390477,"120,249,203",PoS,Ethereum
BTC,22967636872,459083734664,"19,508,418",PoW,Bitcoin
